isbn_10,author,list_price,amazon_price,num_pages,cover,pub_year,height,width,thick,weight_oz,title,publisher
375856110,"Paolini, Christopher",27.99,13.98,704,H,2011,NA,NA,2.1,NA,Inheritance,Knopf Books for Young Readers
684801221,Earnest Hemingway,12,9.09,128,P,1995,5.2,NA,0.8,4,The Old Man and The Sea,Scribner
88730995,Kawasaki,16,12.47,224,P,2000,8.2,5.3,0.6,6.4,Rules For Revolutionaries: The Capitalist Manifesto for Creating and Marketing New Products and Services,Harper Paperbacks
1596435704,"O'Brien, Caragh M.",16.99,10.79,368,H,2011,NA,NA,1.2,NA,Prized,Roaring Brook Press
385737955,Dashner,9.99,9.99,400,P,2010,8.2,5.5,0.7,13.4,The Maze Runner,Delacorte Press
307408841,Erik Larson,26,13,464,H,2011,9.5,6,1.5,25.6,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Crown
618918248,Richard Dawkins,16.95,9.16,464,P,2008,8.1,5.6,1.4,16,The God Delusion,Mariner Books
385337930,Grisham,15,10.2,384,P,2004,8,5.4,0.8,11.2,A Painted House,Delta
1929133472,Timothy Remus,27.95,19.99,144,P,2008,10.8,8.4,0.5,17.6,How to Paint Tractors & Trucks,Wolfgang Publications
345521307,Paula McLain,25,14.46,336,H,2011,9.3,6.4,1.1,22.4,The Paris Wife,Ballantine Books
780707508,August Wislon,21.1,16.46,NA,H,1986,9,6,1,22.4,Fences,Perfection Leraning
385341008,Shaffer,15,8.05,290,H,2009,7.8,5.4,0.7,8,The Guernsey Literary and Potato Peel Pie Society,Dial Press
679437223,Jospeh Heller,24,16.32,624,H,1995,8.4,5.3,1.4,22.4,Catch-22,Everyman's Library
743454537,Jodi Picoult,16,10.77,448,P,2005,8.2,5.4,1.2,6.4,My Sister's Keeper,Washington Square Press
146352719,Mark Twain,14.95,14.95,276,P,2011,7.8,5.1,1,16,Adventures of Huckleberry Finn,CreateSpace
520246980,R.W. Connell,25.05,22.81,349,P,2005,9,6.1,0.9,13.4,Masculinites: Second Edition,University of California Press
15676248,Lewis,13,9.64,168,P,1964,8,5.3,0.4,5.6,Reflections on the Psalms,Mariner Books
1565125606,Gruen,14.95,8.14,350,P,2007,8.2,5.4,1,12.8,Water for Elephants: A Novel,Algonquin Books
60731338,Steven D. Levitt,15.99,9.95,315,P,2009,7.9,5.3,0.8,8,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Harper Perennial
1591843790,Kawasaki,26.95,14.99,211,H,2011,8.3,5.5,1,8,"Enchantment: The Art of Changing Hearts, Minds, and Actions",Portfolio Hardcover
