YearOrig,Title
2011,A Dance with Dragons
2001,A Painted House
1884,Adventures of Huckleberry Finn
1961,Catch-22
2011,"Enchantment: The Art of Changing Hearts, Minds, and Actions"
1985,Fences
2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
2011,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin"
2011,Inheritance
1993,Masculinites: Second Edition
2004,My Sister's Keeper
1937,Of Mice and Men
2011,Prized
1958,Reflections on the Psalms
2000,Rules For Revolutionaries: The Capitalist Manifesto for Creating and Marketing New Products and Services
2006,The God Delusion
2007,The Guernsey Literary and Potato Peel Pie Society
2009,The Maze Runner
1952,The Old Man and The Sea
2011,The Paris Wife
2006,Water for Elephants: A Novel
