diamond_id,lab
1,GIA
2,AGS
3,GIA
4,AGS
6,GIA
7,AGS
8,AGS
9,GIA
10,GIA
11,GIA
12,AGS
13,GIA
14,IGI
16,GIA
18,AGS
19,GIA
20,AGS
21,GIA
22,IGI
23,GIA
24,GIA
25,AGS
26,AGS
27,GIA
28,IGI
29,GIA
30,GIA
31,AGS
32,GIA
33,AGS
34,IGI
35,AGS
36,AGS
37,GIA
38,AGS
39,AGS
40,GIA
41,IGI
42,AGS
43,GIA
44,AGS
45,AGS
46,AGS
47,AGS
48,AGS
49,GIA
50,AGS
52,AGS
53,GIA
54,AGS
55,AGS
56,AGS
57,AGS
58,AGS
59,IGI
60,GIA
62,GIA
63,AGS
64,IGI
66,IGI
67,GIA
68,IGI
69,GIA
70,AGS
71,AGS
72,AGS
73,GIA
74,GIA
75,IGI
76,GIA
77,GIA
78,GIA
79,GIA
80,GIA
81,GIA
82,GIA
83,IGI
84,GIA
85,AGS
86,GIA
87,GIA
88,GIA
89,GIA
90,GIA
91,IGI
95,AGS
96,AGS
97,GIA
98,AGS
99,GIA
100,GIA
101,AGS
102,GIA
104,AGS
105,AGS
106,IGI
107,GIA
108,AGS
109,AGS
110,GIA
111,IGI
112,AGS
113,GIA
114,AGS
115,AGS
116,GIA
117,IGI
118,GIA
119,GIA
120,GIA
121,AGS
122,GIA
123,GIA
124,AGS
125,IGI
126,IGI
127,IGI
128,AGS
129,GIA
130,GIA
131,GIA
132,AGS
133,GIA
134,GIA
135,IGI
136,GIA
137,GIA
138,IGI
140,GIA
141,GIA
142,AGS
143,AGS
144,AGS
145,AGS
146,GIA
147,IGI
148,AGS
149,GIA
150,IGI
151,GIA
153,AGS
154,AGS
155,IGI
156,GIA
157,AGS
158,AGS
159,AGS
160,IGI
161,IGI
162,GIA
163,AGS
164,IGI
165,GIA
167,IGI
168,IGI
170,GIA
171,GIA
172,AGS
173,GIA
174,IGI
175,GIA
176,AGS
177,GIA
178,IGI
179,IGI
180,IGI
181,IGI
182,GIA
184,GIA
185,AGS
186,GIA
187,GIA
188,AGS
189,GIA
190,AGS
191,AGS
192,GIA
193,AGS
194,AGS
195,AGS
196,IGI
197,GIA
198,GIA
199,IGI
200,AGS
201,GIA
202,GIA
203,AGS
204,GIA
206,GIA
207,IGI
208,AGS
209,AGS
210,AGS
211,AGS
212,AGS
213,AGS
214,AGS
215,GIA
216,GIA
217,IGI
219,IGI
220,IGI
221,AGS
222,GIA
224,GIA
225,GIA
226,AGS
227,GIA
228,IGI
229,IGI
230,AGS
231,GIA
232,GIA
233,AGS
234,AGS
235,GIA
236,GIA
237,IGI
238,GIA
240,IGI
241,AGS
242,IGI
243,GIA
244,GIA
245,AGS
246,IGI
247,IGI
248,AGS
249,AGS
250,AGS
251,GIA
252,IGI
253,GIA
254,GIA
255,GIA
256,AGS
258,GIA
260,AGS
261,GIA
262,GIA
265,IGI
266,GIA
267,AGS
268,IGI
269,GIA
270,AGS
271,GIA
272,GIA
273,IGI
274,GIA
275,GIA
276,AGS
277,GIA
278,GIA
279,AGS
281,AGS
283,AGS
284,IGI
285,GIA
286,AGS
287,IGI
288,GIA
289,GIA
290,AGS
291,GIA
293,IGI
294,GIA
295,IGI
296,GIA
298,IGI
299,AGS
300,GIA
301,GIA
302,GIA
303,AGS
304,GIA
305,AGS
306,AGS
307,IGI
308,IGI
309,GIA
310,AGS
311,GIA
312,AGS
313,GIA
314,GIA
315,AGS
316,GIA
318,GIA
319,GIA
320,GIA
321,AGS
322,IGI
323,IGI
324,GIA
326,IGI
327,GIA
329,GIA
330,IGI
331,GIA
332,GIA
333,AGS
334,IGI
335,AGS
336,GIA
338,IGI
339,AGS
341,AGS
342,AGS
344,AGS
345,GIA
346,GIA
347,GIA
348,GIA
349,GIA
350,AGS
351,GIA
352,GIA
353,IGI
354,AGS
355,IGI
356,AGS
357,AGS
358,IGI
359,GIA
361,IGI
362,GIA
363,IGI
364,AGS
365,IGI
366,GIA
367,IGI
368,AGS
369,AGS
370,AGS
371,AGS
372,AGS
374,GIA
375,AGS
376,GIA
377,IGI
378,AGS
379,GIA
380,IGI
382,AGS
383,GIA
384,GIA
385,GIA
386,GIA
387,AGS
388,GIA
389,AGS
390,GIA
391,IGI
392,IGI
393,AGS
394,IGI
395,AGS
396,IGI
397,AGS
398,IGI
399,GIA
400,AGS
402,GIA
403,AGS
404,AGS
405,GIA
406,AGS
407,GIA
409,GIA
410,GIA
411,GIA
413,AGS
414,GIA
415,GIA
416,AGS
