country,variety,points,price,title,taster_name,description,year
US,Pinot Blanc,87,15,J. Scott Cellars 2010 Pinot Blanc (Willamette Valley),Paul Gregutt,"Tart to the edge of sour, this is made for hot weather drinking. Lemon, lime and sour orange fruit with plenty of acidity and a solid, clean, crisp finish.",2010
Argentina,Chardonnay,89,120,Bodega Catena Zapata 2012 White Bones Adrianna Chardonnay (Mendoza),Michael Schachner,"Barrel-related aromas of caramel, popcorn and baked pear dominate the nose, while the palate brings notes of citrus zest, with lively minerality and cutting acidity. This chiseled Chardonnay tastes like tart nectarine, green apple and lime, while the finish is tight as a drum. Drink through 2022.",2012
US,Chardonnay,93,45,Sojourn 2014 Gap's Crown Vineyard Chardonnay (Sonoma Coast),Virginie Boone,"Golden honey and apple aromas open the door to a fulsome, rounded and sensually textured vineyard-designate, with a fruity core laced in nutmeg. Medium bodied yet lush, it retains a lingering persistence of acidity that keeps it fresh and bright on the palate.",2014
US,Red Blend,88,11,Crushed 2010 Red (California),Jim Gordon,"Generous, fruity and ripe, this unpretentious red blend based on Syrah lets the pure fruit flavors carry it rather than laying on heavy oak flavors. It is medium-bodied, broad-textured, very juicy and delicious.",2010
Austria,Grüner Veltliner,92,45,Hirsch 2013 Renner Reserve Grüner Veltliner (Kamptal),Anne Krebiehl MW,"Yellow plum and mineral hints of wet pebble with an almost salty draw demand attention. The palate is fresh and full of appetizing, lemony zing and concentration. This is fun and satisfying, not to say completely delicious.",2013
US,Chardonnay,91,60,Brewer-Clifton 2012 Hapgood Chardonnay (Sta. Rita Hills),Matt Kettmann,"Initial wafts of cannabis-like herbs quickly emerge into lime pith, limestone, struck match and oyster shells, with white flowers and yeastiness showing as well. There's a vivid tension between tart apple flesh and citrus pith on the palate, with lemon curd and pineapple elements arriving over time. Sit on this until 2017 so the acid can mellow, then drink through 2027.",2012
Portugal,Rosé,86,NA,José Maria da Fonseca 2014 Colecção Privada Roxo Rosé (Península de Setúbal),Roger Voss,"A light, bright and fresh wine, the epitome of a fruity rosé, this is made from Moscatel Roxo, a pink-skinned grape. It has plenty of lively acidity, a lightly perfumed character and a final burst of red fruits.",2014
Italy,Sauvignon,87,30,Alois Lageder 2014 Lehen Sauvignon (Alto Adige),Kerin O’Keefe,"The nose isn't overly expressive but eventually reveals suggestions of tropical fruit, chopped herb and a whiff of stone. The straightforward, slender palate offers grapefruit, a hint of peach and mineral accompanied by crisp acidity.",2014
Germany,Riesling,90,20,Von Schleinitz 2016 Nitor Dry Riesling (Mosel),Anna Lee C. Iijima,"Plump apricot, melon and white peach abound are luscious. Yet it's dry in style and bracing too, edged by taut acidity and a steely, mineral edge. Accessible and elegantly balanced, its a four-square wine with excellent value.",2016
Italy,Schiava,89,17,St. Pauls 2013 Missianer Vernatsch Schiava (Alto Adige),Kerin O’Keefe,"Intense aromas of red cherry and wildflower open this bright, elegant red. The easy-drinking palate offers crushed cherry, strawberry, orange zest and a hint of white almond alongside refreshing acidity and ultrafine tannins.",2013
South Africa,Chardonnay,89,20,Buitenverwachting 2015 Bayten Chardonnay (Constantia),Lauren Buzzeo,"This is quite oaky upfront, with bold scents of baked apple, toasted hazelnut and vanilla bean. The palate offers more of the same, in addition to a bright yet decadent lemon-custard flavor. Honey-drizzled apple pie comes to the fore on the finish, with just enough acidity to keep the opulence in check.",2015
Italy,Pinot Nero,88,42,Majolini NV Altera Rosé Pinot Nero (Franciacorta),Kerin O’Keefe,"Made entirely with Pinot Nero, this opens with aromas of rose, McIntosh apple and red berry. The palate offers up raspberry, cranberry, nectarine and candied ginger backed up by brisk acidity. It ends on a walnut note.",NA
Chile,Sauvignon Blanc,84,12,Root:1 2012 Sauvignon Blanc (Casablanca Valley),Michael Schachner,"Pungent up front, with green herb, white pepper and citrus aromas, this is zesty and acidic on the palate, with a monotonous lemon flavor on the finish. It turns more tart and acidic as it airs.",2012
Italy,Sangiovese,92,80,Celestino Pecci 2012  Brunello di Montalcino,Kerin O’Keefe,"Grilled herb, forest floor, ripe plum and leather aromas take shape in the glass. The brawny concentrated palate doles out ripe dark berry, tobacco, licorice and a hint of orange zest while firm, velvety tannins give the finish texture and grip. Drink 2020–2030.",2012
US,Rhône-style Red Blend,90,42,Alder Springs 2012 Kinesis Red (Mendocino),Jim Gordon,"Lots of sweet berry flavors and equally large doses of fine-grained tannins are the opposite poles in this full-bodied blend. It smells like boysenberry and blackberry jam, with similar fruit notes on the palate. Then very firm tannins kick in, making the texture at once blanketing and a bit drying. This has so much flavor that time in the bottle will tame some of those tannins and leave plenty of character to enjoy. Best after 2019.",2012
US,Cabernet Sauvignon,94,85,Hunnicutt 2009 Cabernet Sauvignon (Rutherford),NA,"One sip is all it takes to delight. This wine screams Napa Cabernet with every nuance. Few wines achieve this richness of fruit and tannins. It floods the mouth with blackberry jam, chocolate and cassis liqueur flavors, wrapped into firm but supple tannins, and brightened with a squirt of citrusy acidity. Beautiful now, and should develop over the next decade.",2009
US,Zinfandel,93,34,Summers 2009 Four-Acre Zinfandel (Calistoga),NA,"Rich, blood warming and heady, this has vast and complex flavors of blackberry jam, licorice, bacon, spice and sweet, smoky sandalwood. It's hard to imagine a better wine to drink with barbecue.",2009
